04-29-2025 23:12:48.430,-,API,"White Antenna,0013A20041067F53,XBee PRO 900HP 10K,1075,COM11 - 9600/8/N/1/N,8,35"

04-29-2025 23:10:26.686,0,RECV,7E004A900013A2004182CCB2FFFE42322C342C31382C34312C312C3637363935362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2C2C2C2C0A31
04-29-2025 23:10:27.384,1,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34312C312C3739313833342C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38362C32342E34342C3130323035342E34352C2D2C2D2C2D2C2D2C2D0AEC
04-29-2025 23:10:27.639,2,RECV,7E004A900013A2004182CCB2FFFE42322C342C31382C34312C322C3139323231352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2C2C2C2C0A43
04-29-2025 23:10:28.292,3,RECV,7E004B900013A2004182CCB2FFFE42322C342C31382C34312C342C3738323836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0ADA
04-29-2025 23:10:29.053,4,RECV,7E0084900013A2004182CCB2FFFE42322C342C31382C34312C342C3833353834332C322E37352C2D302E32302C392E35382C302E30362C302E31332C302E31352C322E36382C2D302E33332C392E34322C2D302E30312C2D302E31342C302E30332C302E39392C2D302E33372C302E35362C2D302E39342D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0ACB
04-29-2025 23:10:32.020,5,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34312C372C3836333836342C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38392C32342E34332C3130323035342E31342C2D2C2D2C2D2C2D2C2D0AE5
04-29-2025 23:10:32.842,6,RECV,7E0084900013A2004182CCB2FFFE42322C342C31382C34312C372C3938343836362C312E38312C2D302E30322C392E36342C2D302E31362C302E30392C302E30342C312E39382C2D302E31322C392E36302C2D302E30312C2D302E31302C302E30302C302E39392C352E32352C352E31322C2D392E31392D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0AC4
04-29-2025 23:10:33.412,7,RECV,7E004B900013A2004182CCB2FFFE42322C342C31382C34312C382C3430373836312C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AE1
04-29-2025 23:10:33.922,8,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34312C382C3432373834362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38342C32342E34322C3130323035332E34312C2D2C2D2C2D2C2D2C2D0AEF
04-29-2025 23:10:39.446,9,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C31342C3532353836352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E39322C32342E34332C3130323035352E35332C2D2C2D2C2D2C2D2C2D0ABD
04-29-2025 23:10:40.459,10,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C31352C3634383830352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AAE
04-29-2025 23:10:41.036,11,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C31352C3632373836342C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E39302C32342E34322C3130323035332E39322C2D2C2D2C2D2C2D2C2D0ABC
04-29-2025 23:10:43.081,12,RECV,7E0082900013A2004182CCB2FFFE42322C342C31382C34312C31372C3934303836342C332E37352C302E36392C382E39392C302E30322C302E32372C2D302E30362C332E37322C302E34322C392E30362C302E30322C2D302E31392C302E30302C302E39382C2D332E30362C312E38372C342E35302D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A0D
04-29-2025 23:10:43.974,13,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C31382C3233363836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AAF
04-29-2025 23:10:44.422,14,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C31382C3430383835322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38312C32342E34332C3130323035332E35352C2D2C2D2C2D2C2D2C2D0ABF
04-29-2025 23:10:45.072,15,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C31392C3738363836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AA0
04-29-2025 23:10:45.987,16,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C32302C3330343836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AB6
